PropertyNumber,Suburb,State,Postcode,Category,PropertySalePrice,from_unixtime(PropertySaleDate),NumberOfBedrooms
120445197,Footscray,Vic,3011,House,669000,"2015-09-05 00:00:00",2
120454885,Footscray,Vic,3011,House,900000,"2015-08-21 00:00:00",6
120455501,Footscray,Vic,3011,House,417000,"2015-09-21 00:00:00",2
120478229,Footscray,Vic,3011,Apartment,610000,"2015-08-13 00:00:00",3
120492057,Footscray,Vic,3011,House,779000,"2015-09-12 00:00:00",3
120501389,Footscray,Vic,3011,House,645000,"2015-09-12 00:00:00",2
120504553,Footscray,Vic,3011,House,627000,"2015-09-12 00:00:00",3
120507605,Footscray,Vic,3011,Apartment,610000,"2015-10-04 00:00:00",2
120516177,Footscray,Vic,3011,Townhouse,575000,"2015-09-16 00:00:00",3
120519033,Footscray,Vic,3011,Apartment,350000,"2015-09-14 00:00:00",2
120559389,Footscray,Vic,3011,Apartment,760000,"2016-10-24 00:00:00",2
120562461,Footscray,Vic,3011,Apartment,320000,"2015-10-21 00:00:00",1
120567029,Footscray,Vic,3011,Apartment,340000,"2015-10-30 00:00:00",2
120596701,Footscray,Vic,3011,Apartment,425000,"2015-10-15 00:00:00",1
120607409,Footscray,Vic,3011,House,675000,"2015-09-26 00:00:00",2
120612433,Footscray,Vic,3011,Townhouse,601000,"2015-09-24 00:00:00",2
120628877,Footscray,Vic,3011,House,673600,"2015-10-20 00:00:00",2
120632633,Footscray,Vic,3011,House,1100000,"2015-09-26 00:00:00",4
120635041,Footscray,Vic,3011,Apartment,310000,"2015-12-11 00:00:00",1
120649517,Footscray,Vic,3011,Apartment,805000,"2015-10-13 00:00:00",2
120690329,Footscray,Vic,3011,House,765000,"2015-10-10 00:00:00",3
120700557,Footscray,Vic,3011,House,635000,"2015-10-10 00:00:00",2
120715285,Footscray,Vic,3011,Apartment,380000,"2015-10-16 00:00:00",2
120735361,Footscray,Vic,3011,Townhouse,625000,"2016-03-02 00:00:00",3
120769769,Footscray,Vic,3011,House,1400000,"2016-04-27 00:00:00",4
120772049,Footscray,Vic,3011,Townhouse,770000,"2015-12-02 00:00:00",4
120791221,Footscray,Vic,3011,House,325500,"2016-01-29 00:00:00",2
120797529,Footscray,Vic,3011,Townhouse,440000,"2015-10-24 00:00:00",3
120811185,Footscray,Vic,3011,House,662000,"2015-10-24 00:00:00",2
120812381,Footscray,Vic,3011,Apartment,550000,"2015-10-01 00:00:00",3
